Year,State/Country,Marital Status, Labour Force ('000) 
2002,Negeri Sembilan,Never Married, 100.6 
2003,Negeri Sembilan,Never Married, 114.7 
2004,Negeri Sembilan,Never Married, 124.3 
2005,Negeri Sembilan,Never Married, 137.8 
2006,Negeri Sembilan,Never Married, 140.5 
2007,Negeri Sembilan,Never Married, 144.1 
2008,Negeri Sembilan,Never Married, 142.1 
2009,Negeri Sembilan,Never Married, 136.5 
2010,Negeri Sembilan,Never Married, 144.9 
2011,Negeri Sembilan,Never Married, 141.8 
2012,Negeri Sembilan,Never Married, 159.6 
2013,Negeri Sembilan,Never Married, 166.7 
2014,Negeri Sembilan,Never Married, 169.7 
2015,Negeri Sembilan,Never Married, 160.9 
1982,Pahang,Never Married, 95.6 
1983,Pahang,Never Married, 105.6 
1984,Pahang,Never Married, 111.2 
1985,Pahang,Never Married, 121.2 
1986,Pahang,Never Married, 118.2 
1987,Pahang,Never Married, 122.1 
1988,Pahang,Never Married, 132.4 
1989,Pahang,Never Married, 138.6 
1990,Pahang,Never Married, 150.5 
1992,Pahang,Never Married, 142.3 
1993,Pahang,Never Married, 130.8 
1995,Pahang,Never Married, 125.2 
1996,Pahang,Never Married, 133.9 
1997,Pahang,Never Married, 129.4 
1998,Pahang,Never Married, 114.1 
1999,Pahang,Never Married, 129.1 
2000,Pahang,Never Married, 132.5 
2001,Pahang,Never Married, 138.6 
2002,Pahang,Never Married, 126.6 
2003,Pahang,Never Married, 155.9 
2004,Pahang,Never Married, 171.6 
2005,Pahang,Never Married, 200.6 
2006,Pahang,Never Married, 211.9 
2007,Pahang,Never Married, 199.2 
2008,Pahang,Never Married, 212.7 
2009,Pahang,Never Married, 209.7 
2010,Pahang,Never Married, 214.0 
2011,Pahang,Never Married, 218.8 
2012,Pahang,Never Married, 221.3 
2013,Pahang,Never Married, 228.8 
2014,Pahang,Never Married, 236.2 
2015,Pahang,Never Married, 240.5 
1982,Pulau Pinang,Never Married, 169.1 
1983,Pulau Pinang,Never Married, 181.4 
1984,Pulau Pinang,Never Married, 164.5 
1985,Pulau Pinang,Never Married, 168.9 
1986,Pulau Pinang,Never Married, 185.5 
1987,Pulau Pinang,Never Married, 188.9 
1988,Pulau Pinang,Never Married, 190.2 
1989,Pulau Pinang,Never Married, 207.8 
1990,Pulau Pinang,Never Married, 212.1 
1992,Pulau Pinang,Never Married, 235.2 
1993,Pulau Pinang,Never Married, 208.2 
1995,Pulau Pinang,Never Married, 214.0 
1996,Pulau Pinang,Never Married, 178.4 
1997,Pulau Pinang,Never Married, 224.1 
1998,Pulau Pinang,Never Married, 236.0 
1999,Pulau Pinang,Never Married, 245.2 
2000,Pulau Pinang,Never Married, 285.0 
2001,Pulau Pinang,Never Married, 277.1 
2002,Pulau Pinang,Never Married, 266.0 
2003,Pulau Pinang,Never Married, 257.3 
2004,Pulau Pinang,Never Married, 240.0 
2005,Pulau Pinang,Never Married, 240.4 
2006,Pulau Pinang,Never Married, 236.7 
2007,Pulau Pinang,Never Married, 244.8 
2008,Pulau Pinang,Never Married, 248.0 
2009,Pulau Pinang,Never Married, 247.0 
2010,Pulau Pinang,Never Married, 291.5 
2011,Pulau Pinang,Never Married, 297.4 
2012,Pulau Pinang,Never Married, 288.6 
2013,Pulau Pinang,Never Married, 303.8 
2014,Pulau Pinang,Never Married, 310.0 
2015,Pulau Pinang,Never Married, 307.0 
1982,Perak,Never Married, 222.9 
1983,Perak,Never Married, 256.1 
1984,Perak,Never Married, 237.5 
1985,Perak,Never Married, 250.2 
1986,Perak,Never Married, 267.1 
1987,Perak,Never Married, 267.3 
1988,Perak,Never Married, 269.9 
1989,Perak,Never Married, 265.5 
1990,Perak,Never Married, 256.5 
1992,Perak,Never Married, 245.4 
1993,Perak,Never Married, 236.1 
1995,Perak,Never Married, 215.2 
1996,Perak,Never Married, 241.9 
1997,Perak,Never Married, 243.7 
1998,Perak,Never Married, 240.0 
1999,Perak,Never Married, 232.0 
2000,Perak,Never Married, 248.7 
2001,Perak,Never Married, 253.3 
2002,Perak,Never Married, 264.0 
2003,Perak,Never Married, 256.5 
2004,Perak,Never Married, 287.1 
2005,Perak,Never Married, 298.5 
2006,Perak,Never Married, 306.7 
2007,Perak,Never Married, 322.9 
2008,Perak,Never Married, 333.4 
2009,Perak,Never Married, 356.6 
2010,Perak,Never Married, 322.3 
2011,Perak,Never Married, 325.7 
2012,Perak,Never Married, 338.0 
2013,Perak,Never Married, 372.4 
2014,Perak,Never Married, 366.0 
2015,Perak,Never Married, 384.7 
1982,Perlis,Never Married, 15.8 
1983,Perlis,Never Married, 15.5 
1984,Perlis,Never Married, 18.1 
1985,Perlis,Never Married, 18.3 
1986,Perlis,Never Married, 20.3 
1987,Perlis,Never Married, 19.5 
1988,Perlis,Never Married, 20.1 
1989,Perlis,Never Married, 21.5 
1990,Perlis,Never Married, 14.7 
1992,Perlis,Never Married, 19.1 
1993,Perlis,Never Married, 18.5 
1995,Perlis,Never Married, 18.0 
1996,Perlis,Never Married, 16.4 
1997,Perlis,Never Married, 17.1 
1998,Perlis,Never Married, 18.3 
1999,Perlis,Never Married, 20.4 
2000,Perlis,Never Married, 17.3 
2001,Perlis,Never Married, 20.0 
2002,Perlis,Never Married, 13.5 
2003,Perlis,Never Married, 20.6 
2004,Perlis,Never Married, 21.3 
2005,Perlis,Never Married, 22.9 
2006,Perlis,Never Married, 22.4 
2007,Perlis,Never Married, 25.1 
2008,Perlis,Never Married, 25.1 
2009,Perlis,Never Married, 26.6 
2010,Perlis,Never Married, 24.7 
2011,Perlis,Never Married, 27.5 
2012,Perlis,Never Married, 26.2 
2013,Perlis,Never Married, 32.1 
2014,Perlis,Never Married, 33.0 
2015,Perlis,Never Married, 32.4 
1982,Selangor,Never Married, 284.9 
1983,Selangor,Never Married, 320.5 
1984,Selangor,Never Married, 292.4 
1985,Selangor,Never Married, 309.8 
1986,Selangor,Never Married, 338.6 
1987,Selangor,Never Married, 373.0 
1988,Selangor,Never Married, 382.1 
1989,Selangor,Never Married, 379.7 
1990,Selangor,Never Married, 458.3 
1992,Selangor,Never Married, 456.6 
1993,Selangor,Never Married, 429.2 
1995,Selangor,Never Married, 550.1 
1996,Selangor,Never Married, 541.6 
1997,Selangor,Never Married, 495.1 
1998,Selangor,Never Married, 543.9 
1999,Selangor,Never Married, 535.9 
2000,Selangor,Never Married, 630.1 
2001,Selangor,Never Married, 568.5 
2002,Selangor,Never Married, 641.7 
2003,Selangor,Never Married, 672.5 
2004,Selangor,Never Married, 681.2 
2005,Selangor,Never Married, 722.0 
2006,Selangor,Never Married, 715.2 
2007,Selangor,Never Married, 741.9 
2008,Selangor,Never Married, 752.3 
2009,Selangor,Never Married, 732.8 
2010,Selangor,Never Married," 1,013.7 "
2011,Selangor,Never Married," 1,049.1 "
2012,Selangor,Never Married," 1,022.5 "
2013,Selangor,Never Married," 1,065.0 "
2014,Selangor,Never Married," 1,084.3 "
2015,Selangor,Never Married," 1,033.4 "
1982,Terengganu,Never Married, 63.2 
1983,Terengganu,Never Married, 65.6 
1984,Terengganu,Never Married, 69.6 
1985,Terengganu,Never Married, 70.4 
1986,Terengganu,Never Married, 74.0 
1987,Terengganu,Never Married, 76.5 
1988,Terengganu,Never Married, 86.2 
1989,Terengganu,Never Married, 90.6 
1990,Terengganu,Never Married, 84.9 
1992,Terengganu,Never Married, 86.8 
1993,Terengganu,Never Married, 98.9 
1995,Terengganu,Never Married, 93.5 
1996,Terengganu,Never Married, 92.7 
1997,Terengganu,Never Married, 99.9 
1998,Terengganu,Never Married, 101.4 
1999,Terengganu,Never Married, 102.7 
2000,Terengganu,Never Married, 99.7 
2001,Terengganu,Never Married, 94.5 
2002,Terengganu,Never Married, 89.2 
2003,Terengganu,Never Married, 112.6 
2004,Terengganu,Never Married, 112.9 
2005,Terengganu,Never Married, 118.1 
2006,Terengganu,Never Married, 120.8 
2007,Terengganu,Never Married, 125.2 
2008,Terengganu,Never Married, 136.0 
2009,Terengganu,Never Married, 140.1 
2010,Terengganu,Never Married, 125.7 
2011,Terengganu,Never Married, 132.0 
2012,Terengganu,Never Married, 132.8 
2013,Terengganu,Never Married, 139.0 
2014,Terengganu,Never Married, 150.5 
2015,Terengganu,Never Married, 150.3 
1982,Sabah,Never Married, 116.6 
1983,Sabah,Never Married, 129.7 
1984,Sabah,Never Married, 147.6 
1985,Sabah,Never Married, 146.8 
1986,Sabah,Never Married, 148.2 
1987,Sabah,Never Married, 156.7 
1988,Sabah,Never Married, 159.5 
1989,Sabah,Never Married, 162.7 
1990,Sabah,Never Married, 175.2 
1992,Sabah,Never Married, 180.8 
1993,Sabah,Never Married, 263.6 
1995,Sabah,Never Married, 263.6 
1996,Sabah,Never Married, 380.0 
1997,Sabah,Never Married, 387.9 
1998,Sabah,Never Married, 381.8 
1999,Sabah,Never Married, 415.3 
2000,Sabah,Never Married, 359.9 
2001,Sabah,Never Married, 358.6 
2002,Sabah,Never Married, 402.2 
2003,Sabah,Never Married, 416.8 
2004,Sabah,Never Married, 422.9 
2005,Sabah,Never Married, 429.4 
2006,Sabah,Never Married, 448.3 
2007,Sabah,Never Married, 465.7 
2008,Sabah,Never Married, 475.7 
2009,Sabah,Never Married, 471.9 
2010,Sabah,Never Married, 565.4 
2011,Sabah,Never Married, 611.6 
2012,Sabah,Never Married, 651.8 
2013,Sabah,Never Married, 701.5 
2014,Sabah,Never Married, 683.9 
2015,Sabah,Never Married, 663.9 
1982,Sarawak,Never Married, 167.4 
1983,Sarawak,Never Married, 187.3 
1984,Sarawak,Never Married, 208.3 
1985,Sarawak,Never Married, 214.4 
1986,Sarawak,Never Married, 237.5 
1987,Sarawak,Never Married, 259.7 
1988,Sarawak,Never Married, 258.8 
1989,Sarawak,Never Married, 273.1 
1990,Sarawak,Never Married, 281.2 
1992,Sarawak,Never Married, 278.3 
1993,Sarawak,Never Married, 286.1 
1995,Sarawak,Never Married, 276.8 
1996,Sarawak,Never Married, 288.9 
1997,Sarawak,Never Married, 285.6 
1998,Sarawak,Never Married, 283.5 
1999,Sarawak,Never Married, 309.6 
2000,Sarawak,Never Married, 309.0 
2001,Sarawak,Never Married, 299.9 
2002,Sarawak,Never Married, 300.8 
2003,Sarawak,Never Married, 303.8 
2004,Sarawak,Never Married, 299.6 
2005,Sarawak,Never Married, 294.0 
2006,Sarawak,Never Married, 303.9 
2007,Sarawak,Never Married, 307.2 
2008,Sarawak,Never Married, 317.2 
2009,Sarawak,Never Married, 314.5 
2010,Sarawak,Never Married, 349.8 
2011,Sarawak,Never Married, 351.4 
2012,Sarawak,Never Married, 375.3 
2013,Sarawak,Never Married, 418.9 
2014,Sarawak,Never Married, 420.0 
2015,Sarawak,Never Married, 417.8 
1982,W.P. Kuala Lumpur,Never Married, 229.7 
1983,W.P. Kuala Lumpur,Never Married, 206.0 
1984,W.P. Kuala Lumpur,Never Married, 238.0 
1985,W.P. Kuala Lumpur,Never Married, 241.1 
1986,W.P. Kuala Lumpur,Never Married, 224.7 
1987,W.P. Kuala Lumpur,Never Married, 220.6 
1988,W.P. Kuala Lumpur,Never Married, 220.5 
1989,W.P. Kuala Lumpur,Never Married, 227.5 
1990,W.P. Kuala Lumpur,Never Married, 226.2 
1992,W.P. Kuala Lumpur,Never Married, 254.8 
1993,W.P. Kuala Lumpur,Never Married, 256.5 
1995,W.P. Kuala Lumpur,Never Married, 242.3 
1996,W.P. Kuala Lumpur,Never Married, 300.6 
1997,W.P. Kuala Lumpur,Never Married, 282.2 
1998,W.P. Kuala Lumpur,Never Married, 282.2 
1999,W.P. Kuala Lumpur,Never Married, 289.5 
2000,W.P. Kuala Lumpur,Never Married, 286.7 
2001,W.P. Kuala Lumpur,Never Married, 294.9 
2002,W.P. Kuala Lumpur,Never Married, 346.0 
2003,W.P. Kuala Lumpur,Never Married, 302.8 
2004,W.P. Kuala Lumpur,Never Married, 264.9 
2005,W.P. Kuala Lumpur,Never Married, 274.4 
2006,W.P. Kuala Lumpur,Never Married, 267.4 
2007,W.P. Kuala Lumpur,Never Married, 265.7 
2008,W.P. Kuala Lumpur,Never Married, 274.1 
2009,W.P. Kuala Lumpur,Never Married, 258.0 
2010,W.P. Kuala Lumpur,Never Married, 344.5 
2011,W.P. Kuala Lumpur,Never Married, 363.9 
2012,W.P. Kuala Lumpur,Never Married, 353.9 
2013,W.P. Kuala Lumpur,Never Married, 377.1 
2014,W.P. Kuala Lumpur,Never Married, 348.4 
2015,W.P. Kuala Lumpur,Never Married, 340.0 
1982,W.P Labuan,Never Married,
1983,W.P Labuan,Never Married,
1984,W.P Labuan,Never Married, 7.6 
1985,W.P Labuan,Never Married, 6.7 
1986,W.P Labuan,Never Married, 6.2 
1987,W.P Labuan,Never Married, 4.9 
1988,W.P Labuan,Never Married, 5.2 
1989,W.P Labuan,Never Married, 5.4 
1990,W.P Labuan,Never Married, 4.6 
1992,W.P Labuan,Never Married, 5.8 
1993,W.P Labuan,Never Married, 6.3 
1995,W.P Labuan,Never Married, 11.0 
1996,W.P Labuan,Never Married, 13.0 
1997,W.P Labuan,Never Married, 11.3 
1998,W.P Labuan,Never Married, 13.8 
1999,W.P Labuan,Never Married, 13.4 
2000,W.P Labuan,Never Married, 7.8 
2001,W.P Labuan,Never Married, 10.4 
2002,W.P Labuan,Never Married, 12.1 
2003,W.P Labuan,Never Married, 14.3 
2004,W.P Labuan,Never Married, 12.9 
2005,W.P Labuan,Never Married, 11.9 
2006,W.P Labuan,Never Married, 14.4 
2007,W.P Labuan,Never Married, 14.0 
2008,W.P Labuan,Never Married, 12.4 
2009,W.P Labuan,Never Married, 14.6 
2010,W.P Labuan,Never Married, 15.2 
2011,W.P Labuan,Never Married, 15.4 
2012,W.P Labuan,Never Married, 15.5 
2013,W.P Labuan,Never Married, 15.1 
2014,W.P Labuan,Never Married, 15.4 
2015,W.P Labuan,Never Married, 14.1 
1982,W.P.Putrajaya,Never Married,
1983,W.P.Putrajaya,Never Married,
1984,W.P.Putrajaya,Never Married,
1985,W.P.Putrajaya,Never Married,
1986,W.P.Putrajaya,Never Married,
1987,W.P.Putrajaya,Never Married,
1988,W.P.Putrajaya,Never Married,
1989,W.P.Putrajaya,Never Married,
1990,W.P.Putrajaya,Never Married,
1992,W.P.Putrajaya,Never Married,
1993,W.P.Putrajaya,Never Married,
1995,W.P.Putrajaya,Never Married,
1996,W.P.Putrajaya,Never Married,
1997,W.P.Putrajaya,Never Married,
1998,W.P.Putrajaya,Never Married,
1999,W.P.Putrajaya,Never Married,
2000,W.P.Putrajaya,Never Married,
2001,W.P.Putrajaya,Never Married,
2002,W.P.Putrajaya,Never Married,
2003,W.P.Putrajaya,Never Married,
2004,W.P.Putrajaya,Never Married,
2005,W.P.Putrajaya,Never Married,
2006,W.P.Putrajaya,Never Married,
2007,W.P.Putrajaya,Never Married,
2008,W.P.Putrajaya,Never Married,
2009,W.P.Putrajaya,Never Married,
2010,W.P.Putrajaya,Never Married,
2011,W.P.Putrajaya,Never Married, 11.6 
2012,W.P.Putrajaya,Never Married, 9.5 
2013,W.P.Putrajaya,Never Married, 8.9 
2014,W.P.Putrajaya,Never Married, 7.5 
2015,W.P.Putrajaya,Never Married, 7.2 
1982,Malaysia,Married," 3,277.2 "
1983,Malaysia,Married," 3,443.4 "
1984,Malaysia,Married," 3,526.3 "
1985,Malaysia,Married," 3,583.3 "
1986,Malaysia,Married," 3,694.5 "
1987,Malaysia,Married," 3,823.5 "
1988,Malaysia,Married," 3,922.6 "
1989,Malaysia,Married," 4,019.5 "
1990,Malaysia,Married," 4,121.2 "
1992,Malaysia,Married," 4,339.1 "
1993,Malaysia,Married," 4,697.3 "
1995,Malaysia,Married," 4,834.3 "
1996,Malaysia,Married," 5,307.5 "
1997,Malaysia,Married," 5,463.2 "
1998,Malaysia,Married," 5,506.8 "
1999,Malaysia,Married," 5,666.1 "
2000,Malaysia,Married," 5,897.4 "
2001,Malaysia,Married," 6,055.2 "
2002,Malaysia,Married," 6,178.3 "
2003,Malaysia,Married," 6,354.4 "
2004,Malaysia,Married," 6,454.3 "
2005,Malaysia,Married," 6,395.8 "
2006,Malaysia,Married," 6,568.1 "
2007,Malaysia,Married," 6,693.3 "
2008,Malaysia,Married," 6,747.5 "
2009,Malaysia,Married," 7,012.4 "
2010,Malaysia,Married," 7,421.8 "
2011,Malaysia,Married," 7,666.4 "
2012,Malaysia,Married," 8,004.1 "
2013,Malaysia,Married," 8,485.0 "
2014,Malaysia,Married," 8,731.6 "
2015,Malaysia,Married," 8,976.9 "
1982,Johor,Married, 378.6 
1983,Johor,Married, 386.4 
1984,Johor,Married, 404.6 
1985,Johor,Married, 412.5 
1986,Johor,Married, 431.6 
1987,Johor,Married, 448.6 
1988,Johor,Married, 491.9 
1989,Johor,Married, 496.8 
1990,Johor,Married, 545.3 
1992,Johor,Married, 539.1 
1993,Johor,Married, 584.4 
1995,Johor,Married, 552.3 
1996,Johor,Married, 615.9 
1997,Johor,Married, 655.2 
1998,Johor,Married, 630.5 
1999,Johor,Married, 648.5 
2000,Johor,Married, 716.5 
2001,Johor,Married, 760.2 
2002,Johor,Married, 785.0 
2003,Johor,Married, 798.3 
2004,Johor,Married, 769.6 
2005,Johor,Married, 764.5 
2006,Johor,Married, 780.4 
2007,Johor,Married, 790.4 
2008,Johor,Married, 791.0 
2009,Johor,Married, 816.5 
2010,Johor,Married, 847.1 
2011,Johor,Married, 884.5 
2012,Johor,Married, 918.0 
2013,Johor,Married, 990.5 
2014,Johor,Married, 988.8 
2015,Johor,Married, 986.8 
1982,Kedah,Married, 275.0 
1983,Kedah,Married, 269.1 
1984,Kedah,Married, 289.6 
1985,Kedah,Married, 290.3 
1986,Kedah,Married, 293.7 
1987,Kedah,Married, 288.7 
1988,Kedah,Married, 315.2 
1989,Kedah,Married, 292.7 
1990,Kedah,Married, 311.2 
1992,Kedah,Married, 326.2 
1993,Kedah,Married, 327.3 
1995,Kedah,Married, 346.7 
1996,Kedah,Married, 366.5 
1997,Kedah,Married, 418.6 
1998,Kedah,Married, 380.8 
1999,Kedah,Married, 457.1 
2000,Kedah,Married, 431.3 
2001,Kedah,Married, 482.6 
2002,Kedah,Married, 448.1 
2003,Kedah,Married, 445.5 
2004,Kedah,Married, 434.8 
2005,Kedah,Married, 421.4 
2006,Kedah,Married, 435.1 
2007,Kedah,Married, 434.5 
2008,Kedah,Married, 443.2 
2009,Kedah,Married, 459.6 
2010,Kedah,Married, 483.8 
2011,Kedah,Married, 498.4 
2012,Kedah,Married, 520.8 
2013,Kedah,Married, 553.2 
2014,Kedah,Married, 569.4 
2015,Kedah,Married, 576.1 
1982,Kelantan,Married, 230.7 
1983,Kelantan,Married, 221.9 
1984,Kelantan,Married, 240.5 
1985,Kelantan,Married, 237.8 
1986,Kelantan,Married, 250.9 
1987,Kelantan,Married, 253.8 
1988,Kelantan,Married, 256.1 
1989,Kelantan,Married, 263.9 
1990,Kelantan,Married, 264.7 
1992,Kelantan,Married, 277.0 
1993,Kelantan,Married, 290.5 
1995,Kelantan,Married, 299.3 
1996,Kelantan,Married, 326.1 
1997,Kelantan,Married, 308.3 
1998,Kelantan,Married, 311.8 
1999,Kelantan,Married, 317.1 
2000,Kelantan,Married, 312.2 
2001,Kelantan,Married, 316.5 
2002,Kelantan,Married, 309.5 
2003,Kelantan,Married, 340.9 
2004,Kelantan,Married, 309.2 
2005,Kelantan,Married, 299.1 
2006,Kelantan,Married, 306.0 
2007,Kelantan,Married, 312.4 
2008,Kelantan,Married, 321.0 
2009,Kelantan,Married, 333.6 
2010,Kelantan,Married, 376.5 
2011,Kelantan,Married, 369.8 
2012,Kelantan,Married, 384.7 
2013,Kelantan,Married, 399.0 
2014,Kelantan,Married, 406.7 
2015,Kelantan,Married, 423.3 
1982,Melaka,Married, 98.3 
1983,Melaka,Married, 100.6 
1984,Melaka,Married, 100.8 
1985,Melaka,Married, 102.0 
1986,Melaka,Married, 103.8 
1987,Melaka,Married, 113.8 
1988,Melaka,Married, 106.4 
1989,Melaka,Married, 114.4 
1990,Melaka,Married, 109.4 
1992,Melaka,Married, 127.4 
1993,Melaka,Married, 135.5 
1995,Melaka,Married, 136.2 
1996,Melaka,Married, 151.3 
1997,Melaka,Married, 159.7 
1998,Melaka,Married, 158.5 
1999,Melaka,Married, 153.4 
2000,Melaka,Married, 156.6 
2001,Melaka,Married, 170.8 
2002,Melaka,Married, 151.1 
2003,Melaka,Married, 167.3 
2004,Melaka,Married, 168.2 
2005,Melaka,Married, 169.4 
2006,Melaka,Married, 167.7 
2007,Melaka,Married, 179.8 
2008,Melaka,Married, 181.5 
2009,Melaka,Married, 178.0 
2010,Melaka,Married, 203.2 
2011,Melaka,Married, 209.6 
2012,Melaka,Married, 212.4 
2013,Melaka,Married, 233.4 
2014,Melaka,Married, 247.5 
2015,Melaka,Married, 249.9 
1982,Negeri Sembilan,Married, 136.8 
1983,Negeri Sembilan,Married, 140.5 
1984,Negeri Sembilan,Married, 146.2 
1985,Negeri Sembilan,Married, 138.6 
1986,Negeri Sembilan,Married, 142.8 
1987,Negeri Sembilan,Married, 149.7 
1988,Negeri Sembilan,Married, 147.6 
1989,Negeri Sembilan,Married, 151.1 
1990,Negeri Sembilan,Married, 146.4 
1992,Negeri Sembilan,Married, 165.9 
1993,Negeri Sembilan,Married, 185.7 
1995,Negeri Sembilan,Married, 200.5 
1996,Negeri Sembilan,Married, 205.7 
1997,Negeri Sembilan,Married, 202.0 
1998,Negeri Sembilan,Married, 201.0 
1999,Negeri Sembilan,Married, 181.7 
2000,Negeri Sembilan,Married, 228.6 
2001,Negeri Sembilan,Married, 240.3 
2002,Negeri Sembilan,Married, 225.9 
2003,Negeri Sembilan,Married, 226.4 
2004,Negeri Sembilan,Married, 236.9 
2005,Negeri Sembilan,Married, 236.8 
2006,Negeri Sembilan,Married, 240.4 
2007,Negeri Sembilan,Married, 238.8 
2008,Negeri Sembilan,Married, 245.6 
2009,Negeri Sembilan,Married, 251.4 
2010,Negeri Sembilan,Married, 260.9 
2011,Negeri Sembilan,Married, 272.1 
2012,Negeri Sembilan,Married, 276.7 
2013,Negeri Sembilan,Married, 291.5 
2014,Negeri Sembilan,Married, 290.3 
2015,Negeri Sembilan,Married, 303.7 
1982,Pahang,Married, 175.1 
1983,Pahang,Married, 227.7 
1984,Pahang,Married, 199.9 
1985,Pahang,Married, 210.0 
1986,Pahang,Married, 201.5 
1987,Pahang,Married, 222.1 
1988,Pahang,Married, 231.3 
1989,Pahang,Married, 245.0 
1990,Pahang,Married, 281.1 
1992,Pahang,Married, 272.8 
1993,Pahang,Married, 254.6 
1995,Pahang,Married, 245.6 
1996,Pahang,Married, 270.7 
1997,Pahang,Married, 265.5 
1998,Pahang,Married, 250.0 
1999,Pahang,Married, 255.6 
2000,Pahang,Married, 310.7 
2001,Pahang,Married, 300.3 
2002,Pahang,Married, 279.8 
2003,Pahang,Married, 304.9 
2004,Pahang,Married, 354.7 
2005,Pahang,Married, 326.7 
2006,Pahang,Married, 343.4 
2007,Pahang,Married, 359.7 
2008,Pahang,Married, 370.8 
2009,Pahang,Married, 391.4 
2010,Pahang,Married, 373.2 
2011,Pahang,Married, 385.6 
2012,Pahang,Married, 405.6 
2013,Pahang,Married, 421.0 
2014,Pahang,Married, 437.8 
2015,Pahang,Married, 447.1 
1982,Pulau Pinang,Married, 213.7 
1983,Pulau Pinang,Married, 225.7 
1984,Pulau Pinang,Married, 220.3 
1985,Pulau Pinang,Married, 227.0 
1986,Pulau Pinang,Married, 228.8 
1987,Pulau Pinang,Married, 231.1 
1988,Pulau Pinang,Married, 226.7 
1989,Pulau Pinang,Married, 234.5 
1990,Pulau Pinang,Married, 245.0 
1992,Pulau Pinang,Married, 270.7 
1993,Pulau Pinang,Married, 323.5 
1995,Pulau Pinang,Married, 266.7 
1996,Pulau Pinang,Married, 262.0 
1997,Pulau Pinang,Married, 316.1 
1998,Pulau Pinang,Married, 345.1 
1999,Pulau Pinang,Married, 350.3 
2000,Pulau Pinang,Married, 375.3 
2001,Pulau Pinang,Married, 432.2 
2002,Pulau Pinang,Married, 369.7 
2003,Pulau Pinang,Married, 404.3 
2004,Pulau Pinang,Married, 375.5 
2005,Pulau Pinang,Married, 375.1 
2006,Pulau Pinang,Married, 402.2 
2007,Pulau Pinang,Married, 403.7 
2008,Pulau Pinang,Married, 415.3 
2009,Pulau Pinang,Married, 432.5 
2010,Pulau Pinang,Married, 441.1 
2011,Pulau Pinang,Married, 455.1 
2012,Pulau Pinang,Married, 473.8 
2013,Pulau Pinang,Married, 489.4 
2014,Pulau Pinang,Married, 508.9 
2015,Pulau Pinang,Married, 505.3 
1982,Perak,Married, 386.6 
1983,Perak,Married, 423.6 
1984,Perak,Married, 428.7 
1985,Perak,Married, 434.3 
1986,Perak,Married, 440.5 
1987,Perak,Married, 428.0 
1988,Perak,Married, 418.6 
1989,Perak,Married, 431.9 
1990,Perak,Married, 422.0 
1992,Perak,Married, 446.4 
1993,Perak,Married, 442.0 
1995,Perak,Married, 420.8 
1996,Perak,Married, 475.1 
1997,Perak,Married, 487.9 
1998,Perak,Married, 443.9 
1999,Perak,Married, 459.3 
2000,Perak,Married, 494.9 
2001,Perak,Married, 478.9 
2002,Perak,Married, 527.1 
2003,Perak,Married, 487.5 
2004,Perak,Married, 502.7 
2005,Perak,Married, 503.3 
2006,Perak,Married, 508.6 
2007,Perak,Married, 520.7 
2008,Perak,Married, 526.0 
2009,Perak,Married, 532.6 
2010,Perak,Married, 551.3 
2011,Perak,Married, 582.2 
2012,Perak,Married, 579.4 
2013,Perak,Married, 575.4 
2014,Perak,Married, 577.7 
2015,Perak,Married, 587.6 
1982,Perlis,Married, 38.6 
1983,Perlis,Married, 47.7 
1984,Perlis,Married, 44.4 
1985,Perlis,Married, 44.8 
1986,Perlis,Married, 39.1 
1987,Perlis,Married, 42.7 
1988,Perlis,Married, 48.2 
1989,Perlis,Married, 46.8 
1990,Perlis,Married, 43.3 
1992,Perlis,Married, 47.0 
1993,Perlis,Married, 48.7 
1995,Perlis,Married, 51.1 
1996,Perlis,Married, 52.6 
1997,Perlis,Married, 51.8 
1998,Perlis,Married, 52.8 
1999,Perlis,Married, 57.4 
2000,Perlis,Married, 56.7 
2001,Perlis,Married, 61.9 
2002,Perlis,Married, 43.2 
2003,Perlis,Married, 56.1 
2004,Perlis,Married, 51.6 
2005,Perlis,Married, 49.7 
2006,Perlis,Married, 51.1 
2007,Perlis,Married, 53.7 
2008,Perlis,Married, 55.1 
2009,Perlis,Married, 54.0 
2010,Perlis,Married, 55.7 
2011,Perlis,Married, 55.7 
2012,Perlis,Married, 60.3 
2013,Perlis,Married, 61.1 
2014,Perlis,Married, 60.1 
2015,Perlis,Married, 64.1 
1982,Selangor,Married, 388.1 
1983,Selangor,Married, 412.9 
1984,Selangor,Married, 408.0 
1985,Selangor,Married, 412.8 
1986,Selangor,Married, 465.6 
1987,Selangor,Married, 520.0 
1988,Selangor,Married, 546.0 
1989,Selangor,Married, 533.4 
1990,Selangor,Married, 575.9 
1992,Selangor,Married, 607.0 
1993,Selangor,Married, 646.7 
1995,Selangor,Married, 785.9 
1996,Selangor,Married, 796.9 
1997,Selangor,Married, 815.2 
1998,Selangor,Married, 877.3 
1999,Selangor,Married, 882.7 
2000,Selangor,Married," 1,045.9 "
2001,Selangor,Married, 950.0 
2002,Selangor,Married," 1,116.0 "
2003,Selangor,Married," 1,176.3 "
2004,Selangor,Married," 1,296.7 "
2005,Selangor,Married," 1,274.0 "
2006,Selangor,Married," 1,316.0 "
2007,Selangor,Married," 1,327.9 "
2008,Selangor,Married," 1,340.5 "
2009,Selangor,Married," 1,376.0 "
2010,Selangor,Married," 1,551.9 "
2011,Selangor,Married," 1,595.4 "
